termDisplayName,termDisplayNameNonPreferred,termName,foreName,middleName,surName,initials,salutation,title,nameAdditions,termLanguage,termPrefForLang,termType,termFlag,termQualifier,termSource,termSourceID,termSourceDetail,termSourceNote,termStatus,birthDateGroup,deathDateGroup,birthPlace,deathPlace,group,nationality,gender,occupation,schoolOrStyle,bioNote,nameNote,email,emailType,telephoneNumber,telephoneNumberType,faxNumber,faxNumberType,webAddress,webAddressType,addressType,addressPlace1,addressPlace2,addressMunicipality,addressStateOrProvince,addressPostCode,addressCountry
Evan Saint,,Evan Saint,Evan,,Saint,JM,dear,Dr,additions text,Italian, true,descriptor,,qualifier text,Book Five,3120,detail text,source text,under review,1900,1986,Manchester,Sydney,group text,,male,occupation text,school text,,name note text,email@address,business,000-555-1221,home,000-555-4554,business,notaURL.atall,business,business,,,Manchester,,,
Mary Minyard,,Mary Minyard,Mary,,Minyard,JM,hello,Professor,additions text,Japanese, true,alternate descriptor,,qualifier text,Book One,3453,detail text,source text,accepted,1957,,Paris,Melbourne,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1222,mobile,000-555-4555,home,notaURL.atall,personal,home,,,Paris,,,
Mary Stairs,,Mary Stairs,Mary,,Stairs,LF,to,Ms,additions text,Korean, false,used for term,,qualifier text,Book Two,3786,detail text,source text,rejected,1895,1963,Lyon,South Tarawa,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1223,other,000-555-4556,other,notaURL.atall,other,other,,,Lyon,,,
Cameron Burr,,Cameron Burr,Cameron,,Burr,DK,dear,Dr,additions text,Latin, true,descriptor,,qualifier text,Book Three,4119,detail text,source text,provisional,1920,1999,New York,Betio Village,group text,English,female,occupation text,school text,,name note text,email@address,business,000-555-1224,business,000-555-4557,business,notaURL.atall,business,business,,,New York,,,
Blanca Landay,,Blanca Landay,Blanca,,Landay,AC,hello,Professor,additions text,Malaysian, true,alternate descriptor,,qualifier text,Book Four,4452,detail text,source text,under review,1924,,Los Angeles,Lima,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1225,home,000-555-4558,home,notaURL.atall,personal,home,,,Los Angeles,,,
Annabelle Willows,,Annabelle Willows,Annabelle,,Willows,IH,to,Ms,additions text,Middle English, false,used for term,,qualifier text,Book Five,4785,detail text,source text,accepted,1826,1873,San Jose,Arequipa,group text,Welsh,female,occupation text,school text,,name note text,email@address,other,000-555-1226,mobile,000-555-4559,other,notaURL.atall,other,other,,,San Jose,,,
Marlene Van,,Marlene Van,Marlene,,Van,AT,dear,Dr,additions text,Old English, true,descriptor,,qualifier text,Book One,5118,detail text,source text,rejected,1830,1858,Puerto Limon,Santiago,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1227,other,000-555-4560,business,notaURL.atall,business,business,,,Puerto Limon,,,
Angie Millson,,Angie Millson,Angie,,Millson,JW,hello,Professor,additions text,Portuguese, true,alternate descriptor,,qualifier text,Book Two,5451,detail text,source text,provisional,ca. 1886,1921,Sydney,Puente Alto,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1228,business,000-555-4561,home,notaURL.atall,personal,home,,,Sydney,,,
Dianna Fella,,Dianna Fella,Dianna,,Fella,RI,to,Ms,additions text,Romanian, false,used for term,,qualifier text,Book Three,5784,detail text,source text,under review,1880,unknown,Melbourne,Algiers,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1229,home,000-555-4562,other,notaURL.atall,other,other,,,Melbourne,,,
Selina Hardison,,Selina Hardison,Selina,,Hardison,JM,dear,Dr,additions text,Russian, true,descriptor,,qualifier text,Book Four,6117,detail text,source text,accepted,1954,,South Tarawa,Oran,group text,,female,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1230,mobile,000-555-4563,business,notaURL.atall,business,business,,,South Tarawa,,,
Sandy Pound,,Sandy Pound,Sandy,,Pound,JM,hello,Professor,additions text,Spanish, true,alternate descriptor,,qualifier text,Book Five,6450,detail text,source text,rejected,1940,,Betio Village,Pretoria,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1231,other,000-555-4564,home,notaURL.atall,personal,home,,,Betio Village,,,
Franco Borge,,Franco Borge,Franco,,Borge,LF,to,Mr,additions text,Swahili, false,used for term,,qualifier text,Book One,6783,detail text,source text,provisional,1964,,Lima,Johannesburg,group text,Spanish,male,occupation text,school text,,name note text,email@address,other,000-555-1232,business,000-555-4565,other,notaURL.atall,other,other,,,Lima,,,
Carlos Guajardo,,Carlos Guajardo,Carlos,,Guajardo,DK,dear,Dr,additions text,Swedish, true,descriptor,,qualifier text,Book Two,7116,detail text,source text,under review,1932,,Arequipa,Tel Aviv,group text,,male,occupation text,school text,,name note text,email@address,business,000-555-1233,home,000-555-4566,business,notaURL.atall,business,business,,,Arequipa,,,
Santos Rincon,,Santos Rincon,Santos,,Rincon,AC,hello,Professor,additions text,Tagalog, true,alternate descriptor,,qualifier text,Book Three,7449,detail text,source text,accepted,1786,1840,Santiago,London,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1234,mobile,000-555-4567,home,notaURL.atall,personal,home,,,Santiago,,,
Kadmos Painter,,Kadmos Painter,Kadmos,,Painter,IH,to,Mr,additions text,Yoruba, false,used for term,,qualifier text,Book Four,7782,detail text,source text,rejected,ca. 420 BCE,ca. 390 BCE,Puente Alto,Manchester,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1235,other,000-555-4568,other,notaURL.atall,other,other,,,Puente Alto,,,
Joaquin Celestino,,Joaquin Celestino,Joaquin,,Celestino,AT,dear,Dr,additions text,Ancient Greek, true,descriptor,,qualifier text,Book Five,8115,detail text,source text,provisional,1786,1840,Algiers,Paris,group text,,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1236,business,000-555-4569,business,notaURL.atall,business,business,,,,,,
Rico Galindez,,Rico Galindez,Rico,,Galindez,JW,hello,Professor,additions text,Arabic, true,alternate descriptor,,qualifier text,Book One,8448,detail text,source text,under review,1954,,Oran,Lyon,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1237,home,000-555-4570,home,notaURL.atall,personal,home,,,,,,
Oliverio Valentino,,Oliverio Valentino,Oliverio,,Valentino,RI,to,Mr,additions text,Armenian, false,used for term,,qualifier text,Book Two,8781,detail text,source text,accepted,1886,1948,Pretoria,New York,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1238,mobile,000-555-4571,other,notaURL.atall,other,other,,,,,,
Gabriel Solares,,Gabriel Solares,Gabriel,,Solares,JM,dear,Dr,additions text,Chinese, true,descriptor,,qualifier text,Book Three,9114,detail text,source text,rejected,1858,1929,Johannesburg,Los Angeles,group text,,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1239,other,000-555-4572,business,notaURL.atall,business,business,,,,,,
Turi Berrones,,Turi Berrones,Turi,,Berrones,JM,hello,Professor,additions text,English, true,alternate descriptor,,qualifier text,Book Four,9447,detail text,source text,provisional,1892,1963,Beijing,San Jose,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1240,business,000-555-4573,home,notaURL.atall,personal,home,,,,,,
Placido Claros,,Placido Claros,Placido,,Claros,LF,to,Mr,additions text,French, false,used for term,,qualifier text,Book Five,9780,detail text,source text,under review,1903,1991,Shanghai,Puerto Limon,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1241,home,000-555-4574,other,notaURL.atall,other,other,,,,,,
Kesara Nieto,,Kesara Nieto,Kesara,,Nieto,DK,dear,Dr,additions text,German, true,descriptor,,qualifier text,Book One,10113,detail text,source text,accepted,1889,unknown,Jerusalem,Sydney,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1242,mobile,000-555-4575,business,notaURL.atall,business,business,,,,,,
Modesta Marciel,,Modesta Marciel,Modesta,,Marciel,AC,hello,Professor,additions text,Hebrew, true,alternate descriptor,,qualifier text,Book Two,10446,detail text,source text,rejected,1922,1988,Tel Aviv,Melbourne,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1243,other,000-555-4576,home,notaURL.atall,personal,home,,,,,,
Xuxa Mazon,,Xuxa Mazon,Xuxz,,Mazon,IH,to,Ms,additions text,Indonesian, false,used for term,,qualifier text,Book Three,10779,detail text,source text,provisional,1780,1846,London,South Tarawa,group text,,female,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,other,000-555-1244,business,000-555-4577,other,notaURL.atall,other,other,,,,,,
Cristina Porto,,Cristina Porto,Cristina,,Porto,AT,dear,Dr,additions text,Italian, true,descriptor,,qualifier text,Book Four,11112,detail text,source text,under review,1957,,Manchester,Betio Village,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1245,home,000-555-4578,business,notaURL.atall,business,business,,,,,,
Neiva Silguero,,Neiva Silguero,Neiva,,Silguero,JW,hello,Professor,additions text,Japanese, true,alternate descriptor,,qualifier text,Book Five,11445,detail text,source text,accepted,1955,,Paris,Lima,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1246,mobile,000-555-4579,home,notaURL.atall,personal,home,,,,,,
Xiomara Monzon,,Xiomara Monzon,Xiomara,,Monzon,RI,to,Ms,additions text,Korean, false,used for term,,qualifier text,Book One,11778,detail text,source text,rejected,1914,2004,Lyon,Arequipa,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1247,other,000-555-4580,other,notaURL.atall,other,other,,,,,,
Madre Paulino,,Madre Paulino,Madre,,Paulino,JM,dear,Dr,additions text,Latin, true,descriptor,,qualifier text,Book Two,12111,detail text,source text,provisional,1905,1959,New York,Santiago,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1248,business,000-555-4581,business,notaURL.atall,business,business,,,,,,
Ernesta Mateos,,Ernesta Mateos,Ernest,,Mateos,JM,hello,Professor,additions text,Malaysian, true,alternate descriptor,,qualifier text,Book Three,12444,detail text,source text,under review,1967,,Los Angeles,Puente Alto,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1249,home,000-555-4582,home,notaURL.atall,personal,home,,,,,,
Elbertina Lana,,Elbertina Lana,Elbertina,,Lana,LF,to,Ms,additions text,Middle English, false,used for term,,qualifier text,Book Four,12777,detail text,source text,accepted,1930,,San Jose,Algiers,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1250,mobile,000-555-4583,other,notaURL.atall,other,other,,,,,,
Lucena Medina,,Lucena Medina,Lucena,,Medina,DK,dear,Dr,additions text,Old English, true,descriptor,,qualifier text,Book Five,13110,detail text,source text,rejected,1881,1929,Puerto Limon,Oran,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1251,other,000-555-4584,business,notaURL.atall,business,business,,,,,,
Daumants Bizkalns,,Daumants Bizkalns,Daumants,,Bizkalns,AC,hello,Professor,additions text,Portuguese, true,alternate descriptor,,qualifier text,Book One,13443,detail text,source text,provisional,1875,1954,Sydney,Pretoria,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1252,business,000-555-4585,home,notaURL.atall,personal,home,,,,,,
Maigonis Baltgailis,,Maigonis Baltgailis,Maigonis,,Baltgailis,IH,to,Mr,additions text,Romanian, false,used for term,,qualifier text,Book Two,13776,detail text,source text,under review,1922,,Melbourne,Johannesburg,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1253,home,000-555-4586,other,notaURL.atall,other,other,,,,,,
Konradus Kronbergs,,Konradus Kronbergs,Konradus,,Kronbergs,AT,dear,Dr,additions text,Russian, true,descriptor,,qualifier text,Book Three,14109,detail text,source text,accepted,1716,1800,South Tarawa,Tel Aviv,group text,,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1254,mobile,000-555-4587,business,notaURL.atall,business,business,,,,,,
Sergejs Dundurs,,Sergejs Dundurs,Sergejs,,Dundurs,JW,hello,Professor,additions text,Spanish, true,alternate descriptor,,qualifier text,Book Four,14442,detail text,source text,rejected,1545,1603,Betio Village,London,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1255,other,000-555-4588,home,notaURL.atall,personal,home,,,,,,
Otomars Vitols,,Otomars Vitols,Otomars,,Vitols,RI,to,Mr,additions text,Swahili, false,used for term,,qualifier text,Book Five,14775,detail text,source text,provisional,1950,,Lima,Manchester,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1256,business,000-555-4589,other,notaURL.atall,other,other,,,,,,
Dzons Vaczemnieks,,Dzons Vaczemnieks,Dzons,,Vaczemnieks,JM,dear,Dr,additions text,Swedish, true,descriptor,,qualifier text,Book One,15108,detail text,source text,under review,1735,unknown,Arequipa,Paris,group text,,male,occupation text,school text,,name note text,email@address,business,000-555-1257,home,000-555-4590,business,notaURL.atall,business,business,,,,,,
Alnis Mangotajs,,Alnis Mangotajs,Alnis,,Mangotajs,JM,hello,Professor,additions text,Tagalog, true,alternate descriptor,,qualifier text,Book Two,15441,detail text,source text,accepted,1791,1798,Santiago,Lyon,group text,,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,personal,000-555-1258,mobile,000-555-4591,home,notaURL.atall,personal,home,,,,,,
Justs Pudele,,Justs Pudele,Justs,,Pudele,LF,to,Mr,additions text,Yoruba, false,used for term,,qualifier text,Book Three,15774,detail text,source text,rejected,1894,1961,Puente Alto,New York,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1259,other,000-555-4592,other,notaURL.atall,other,other,,,,,,
Dzons Zvirbulis,,Dzons Zvirbulis,Dzons,,Zvirbulis,DK,dear,Dr,additions text,Ancient Greek, true,descriptor,,qualifier text,Book Four,16107,detail text,source text,provisional,1929,,Algiers,Los Angeles,group text,,male,occupation text,school text,,name note text,email@address,business,000-555-1260,business,000-555-4593,business,notaURL.atall,business,business,,,,,,
Ramona Stiebrins,,Ramona Stiebrins,Ramona,,Stiebrins,AC,hello,Professor,additions text,Arabic, true,alternate descriptor,,qualifier text,Book Five,16440,detail text,source text,under review,1903,1991,Oran,San Jose,group text,,female,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,personal,000-555-1261,home,000-555-4594,home,notaURL.atall,personal,home,,,,,,
Lauma Malinovskis,,Lauma Malinovskis,Lauma,,Malinovskis,IH,to,Ms,additions text,Armenian, false,used for term,,qualifier text,Book One,16773,detail text,source text,accepted,1943,,Pretoria,Puerto Limon,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1262,mobile,000-555-4595,other,notaURL.atall,other,other,,,,,,
Juta Balins,,Juta Balins,Juta,,Balins,AT,dear,Dr,additions text,Chinese, true,descriptor,,qualifier text,Book Two,17106,detail text,source text,rejected,1920,,Johannesburg,Sydney,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1263,other,000-555-4596,business,notaURL.atall,business,business,,,,,,
Rabirius,,Rabirius,Rabirius,,,JW,hello,Professor,additions text,English, true,alternate descriptor,,qualifier text,Book Three,17439,detail text,source text,provisional,unknown,unknown,Beijing,Melbourne,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1264,business,000-555-4597,home,notaURL.atall,personal,home,,,,,,
Ilze Bergs,,Ilze Bergs,Ilze,,Bergs,RI,to,Ms,additions text,French, false,used for term,,qualifier text,Book Four,17772,detail text,source text,under review,1919,,Shanghai,South Tarawa,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1265,home,000-555-4598,other,notaURL.atall,other,other,,,,,,
Marika Laimitis,,Marika Laimitis,Marika,,Laimitis,JM,dear,Dr,additions text,German, true,descriptor,,qualifier text,Book Five,18105,detail text,source text,accepted,1959,,Jerusalem,Betio Village,group text,,female,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1266,mobile,000-555-4599,business,notaURL.atall,business,business,,,,,,
Nora Grantkalns,,Nora Grantkalns,Nora,,Grantkalns,JM,hello,Professor,additions text,Hebrew, true,alternate descriptor,,qualifier text,Book One,18438,detail text,source text,rejected,ca. 1487,ca. 1542,Tel Aviv,Lima,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1267,other,000-555-4600,home,notaURL.atall,personal,home,,,,,,
Tina Lauva,,Tina Lauva,Tina,,Lauva,LF,to,Ms,additions text,Indonesian, false,used for term,,qualifier text,Book Two,18771,detail text,source text,provisional,1872,1933,London,Arequipa,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1268,business,000-555-4601,other,notaURL.atall,other,other,,,,,,
Liene Zvaigznite,,Liene Zvaigznite,Liene,,Zvaigznite,DK,dear,Dr,additions text,Italian, true,descriptor,,qualifier text,Book Three,19104,detail text,source text,under review,1736,after 1779,Manchester,Santiago,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1269,home,000-555-4602,business,notaURL.atall,business,business,,,,,,
Tekla Zklingeris,,Tekla Zklingeris,Tekla,,Zklingeris,AC,hello,Professor,additions text,Japanese, true,alternate descriptor,,qualifier text,Book Four,19437,detail text,source text,accepted,1921,1995,Paris,Puente Alto,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1270,mobile,000-555-4603,home,notaURL.atall,personal,home,,,,,,
Kaneie Machida,,Kaneie Machida,Kaneie,,Machida,IH,to,Ms,additions text,Korean, false,used for term,,qualifier text,Book Five,19770,detail text,source text,rejected,1890,1967,Lyon,Algiers,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1271,other,000-555-4604,other,notaURL.atall,other,other,,,,,,
Narahiko Hirano,,Narahiko Hirano,Narahiko,,Hirano,AT,dear,Dr,additions text,Latin, true,descriptor,,qualifier text,Book One,20103,detail text,source text,provisional,1863,1953,New York,Oran,group text,,male,occupation text,school text,,name note text,email@address,business,000-555-1272,business,000-555-4605,business,notaURL.atall,business,business,,,,,,
Tohaku Azuma,,Tohaku Azuma,Tohaku,,Azuma,JW,hello,Professor,additions text,Malaysian, true,alternate descriptor,,qualifier text,Book Two,20436,detail text,source text,under review,1784,1872,Los Angeles,Pretoria,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1273,home,000-555-4606,home,notaURL.atall,personal,home,,,,,,
Ichizo Kubota,,Ichizo Kubota,Ichizo,,Kubota,RI,to,Mr,additions text,Middle English, false,used for term,,qualifier text,Book Three,20769,detail text,source text,accepted,1922,2001,San Jose,Johannesburg,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1274,mobile,000-555-4607,other,notaURL.atall,other,other,,,,,,
Shirai Tanigawa,,Shirai Tanigawa,Shirai,,Tanigawa,JM,dear,Dr,additions text,Old English, true,descriptor,,qualifier text,Book Four,21102,detail text,source text,rejected,1925,1984,Puerto Limon,Tel Aviv,group text,,male,occupation text,school text,,name note text,email@address,business,000-555-1275,other,000-555-4608,business,notaURL.atall,business,business,,,,,,
